,greV,greQ,greA,cgpa,univName
3501,157.0,164.0,4.0,3.57,National University of Computer and Emerging Sciences
3575,160.0,160.0,0.0,4.0,COMSATS University Islamabad
3576,160.0,160.0,0.0,4.0,COMSATS University Islamabad
3581,168.0,150.0,5.0,4.0,University of the Punjab
3582,166.0,168.0,3.5,3.86,"University of Engineering and Technology, Lahore"
3619,164.0,155.0,4.5,3.71,"University of Engineering and Technology, Lahore"
3708,150.0,166.0,4.0,3.95,Aga Khan University
3709,150.0,168.0,3.5,3.25,Bahria University
3711,148.0,162.0,4.5,4.0,Bahria University
3715,168.0,170.0,5.5,3.3,University of Central Punjab
3742,160.0,170.0,4.0,3.91,Aga Khan University
3743,163.0,154.0,4.5,3.98,University of the Punjab
3750,158.0,170.0,3.0,3.9,Bahauddin Zakariya University
3788,159.0,169.0,4.0,3.47,Aga Khan University
3831,155.0,163.0,3.5,4.0,National University of Modern Languages
3837,155.0,163.0,3.5,4.0,Aga Khan University
3867,161.0,170.0,4.0,3.93,COMSATS University Islamabad
3934,155.0,167.0,4.5,3.4,Bahauddin Zakariya University
3996,159.0,168.0,4.0,3.74,Bahauddin Zakariya University
4007,157.0,159.0,4.0,3.62,Quaid-i-Azam University
4010,161.0,169.0,4.5,3.78,National University of Sciences and Technology
4021,157.0,161.0,5.0,3.96,Institute of Business Administration
4023,158.0,160.0,3.5,3.01,University of Central Punjab
4037,164.0,167.0,5.0,3.87,University of Central Punjab
4123,165.0,169.0,5.5,3.95,COMSATS University Islamabad
4152,144.0,169.0,3.5,3.7,Aga Khan University
4155,165.0,167.0,4.5,3.79,NED University of Engineering and Technology
4158,161.0,169.0,4.5,3.5,Air University
4178,155.0,142.0,3.5,3.51,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
4195,170.0,161.0,5.5,3.83,University of the Punjab
4210,151.0,165.0,4.0,3.84,National University of Computer and Emerging Sciences
4225,166.0,169.0,5.0,3.7,"University of Engineering and Technology, Lahore"
4258,151.0,155.0,4.0,3.7,NED University of Engineering and Technology
4265,161.0,168.0,4.5,9.99,COMSATS University Islamabad
4268,150.0,157.0,4.5,3.64,Aga Khan University
4301,163.0,151.0,5.0,3.63,University of the Punjab
4316,163.0,158.0,4.5,3.3,Air University
4408,159.0,170.0,4.0,3.56,National University of Computer and Emerging Sciences
4437,151.0,161.0,5.0,3.93,Aga Khan University
4443,158.0,152.0,5.5,3.67,"International Islamic University, Islamabad"
4450,159.0,164.0,5.0,3.6,Bahauddin Zakariya University
4471,150.0,168.0,0.0,4.0,National University of Sciences and Technology
4504,158.0,161.0,4.5,3.1,Aga Khan University
4513,162.0,170.0,5.0,3.8,Aga Khan University
4530,163.0,165.0,4.5,4.0,Bahauddin Zakariya University
4547,165.0,169.0,4.5,3.9,Bahauddin Zakariya University
4552,150.0,149.0,3.5,3.1,National University of Modern Languages
4561,165.0,170.0,4.0,3.73,Bahria University
4589,162.0,161.0,4.0,3.63,Bahria University
4630,162.0,157.0,4.2,3.46,Bahauddin Zakariya University
4631,154.0,167.0,3.5,3.03,"International Islamic University, Islamabad"
4638,145.0,167.0,3.0,3.65,University of Central Punjab
4644,169.0,163.0,5.5,3.68,Bahauddin Zakariya University
4688,152.0,170.0,3.0,3.5,University of Central Punjab
4704,155.0,163.0,3.5,4.0,University of the Punjab
4730,158.0,168.0,3.5,3.64,Lahore University of Management Sciences
4739,150.0,170.0,4.0,2.76,Air University
4742,148.0,168.0,3.5,3.44,National University of Modern Languages
4768,148.0,170.0,3.0,3.34,Air University
4830,163.0,170.0,4.0,4.0,COMSATS University Islamabad
4853,162.0,169.0,3.5,3.53,Bahauddin Zakariya University
4862,150.0,170.0,3.5,3.8,NED University of Engineering and Technology
4883,170.0,169.0,5.0,3.57,Air University
4928,167.0,170.0,5.5,3.62,Bahauddin Zakariya University
4939,156.0,164.0,4.0,3.3,NED University of Engineering and Technology
4959,169.0,170.0,0.0,3.9,Bahauddin Zakariya University
4984,144.0,168.0,4.0,3.28,Quaid-i-Azam University
4985,144.0,168.0,4.0,3.28,Aga Khan University
4988,160.0,168.0,4.5,3.91,COMSATS University Islamabad
5136,160.0,163.0,4.0,3.19,NED University of Engineering and Technology
5148,157.0,160.0,3.5,3.98,NED University of Engineering and Technology
5149,162.0,152.0,4.0,3.1,"International Islamic University, Islamabad"
5162,167.0,157.0,4.5,3.48,University of the Punjab
5176,162.0,170.0,5.0,3.9,National University of Modern Languages
5186,157.0,165.0,3.5,3.73,Aga Khan University
5207,151.0,154.0,5.0,3.85,Bahria University
5209,159.0,170.0,4.0,3.58,National University of Modern Languages
5223,165.0,169.0,0.0,3.85,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
5231,166.0,152.0,5.0,4.0,Air University
5249,154.0,170.0,0.0,3.94,Bahauddin Zakariya University
5259,160.0,163.0,4.5,3.8,University of Central Punjab
5261,164.0,166.0,4.0,8.56,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
5276,154.0,170.0,3.5,4.0,Bahria University
5319,155.0,170.0,3.5,3.7,COMSATS University Islamabad
5402,155.0,167.0,3.5,8.55,Air University
5403,155.0,167.0,3.5,8.55,Air University
5445,165.0,169.0,4.5,9.8,Aga Khan University
5454,160.0,166.0,4.0,3.9,COMSATS University Islamabad
5462,169.0,155.0,3.5,3.59,National University of Sciences and Technology
5546,162.0,170.0,3.0,3.7,Bahauddin Zakariya University
5559,154.0,167.0,4.5,3.77,"International Islamic University, Islamabad"
5567,157.0,148.0,0.0,3.75,National University of Sciences and Technology
5642,155.0,163.0,5.5,3.86,Quaid-i-Azam University
5660,152.0,167.0,4.0,3.3,"University of Engineering and Technology, Lahore"
5678,155.0,169.0,4.0,3.85,Bahria University
5705,165.0,157.0,4.0,3.88,COMSATS University Islamabad
5731,166.0,170.0,5.0,3.9,National University of Computer and Emerging Sciences
5738,169.0,160.0,5.5,3.85,National University of Computer and Emerging Sciences
5740,169.0,160.0,5.5,3.85,National University of Computer and Emerging Sciences
5742,169.0,160.0,5.5,3.85,Bahauddin Zakariya University
5760,154.0,161.0,4.0,3.98,COMSATS University Islamabad
5791,168.0,170.0,5.5,3.33,Quaid-i-Azam University
5819,154.0,170.0,3.5,3.59,University of the Punjab
5866,152.0,167.0,3.5,3.75,National University of Computer and Emerging Sciences
5897,163.0,170.0,0.0,4.0,Air University
5900,157.0,170.0,4.0,3.84,Air University
5945,170.0,170.0,5.0,3.92,Quaid-i-Azam University
6003,162.0,170.0,4.5,3.7,National University of Computer and Emerging Sciences
6009,144.0,157.0,3.5,3.5,University of Central Punjab
6043,159.0,170.0,4.0,9.99,"University of Engineering and Technology, Lahore"
6045,164.0,165.0,4.0,3.89,COMSATS University Islamabad
6051,157.0,167.0,3.5,3.71,National University of Computer and Emerging Sciences
6126,159.0,164.0,4.0,3.9,National University of Computer and Emerging Sciences
6190,148.0,160.0,3.0,3.93,National University of Computer and Emerging Sciences
6215,153.0,159.0,4.5,3.93,"University of Engineering and Technology, Lahore"
6217,150.0,170.0,3.0,3.81,COMSATS University Islamabad
6242,163.0,164.0,5.0,3.87,Quaid-i-Azam University
6340,152.0,152.0,4.5,3.9,Shaheed Zulfiqar Ali Bhutto Institute of Science and Technology
6354,154.0,163.0,4.0,3.89,National University of Sciences and Technology
6362,153.0,158.0,3.5,2.25,Aga Khan University
6452,160.0,167.0,3.0,3.87,Bahria University
6496,148.0,163.0,3.0,4.5,Aga Khan University
6497,157.0,155.0,3.0,2.9,Aga Khan University
6504,158.0,164.0,5.0,3.91,University of Central Punjab
6547,159.0,169.0,4.0,3.62,Aga Khan University
6553,162.0,150.0,4.5,2.97,Aga Khan University
6609,160.0,169.0,4.0,3.99,"University of Engineering and Technology, Lahore"
6664,153.0,167.0,3.5,3.5,Quaid-i-Azam University
6669,153.0,166.0,4.0,3.4,Quaid-i-Azam University
6709,157.0,160.0,4.0,4.0,Bahauddin Zakariya University
6720,155.0,169.0,3.5,3.6,Quaid-i-Azam University
6734,159.0,162.0,4.0,3.19,Quaid-i-Azam University
6853,158.0,170.0,4.0,4.0,COMSATS University Islamabad
6905,159.0,166.0,4.5,3.86,COMSATS University Islamabad
6910,166.0,158.0,3.0,3.59,Bahauddin Zakariya University
6914,162.0,170.0,4.0,3.98,National University of Computer and Emerging Sciences
6942,152.0,167.0,4.0,3.3,Bahria University
6955,152.0,155.0,0.0,3.5,University of Central Punjab
6965,151.0,170.0,3.0,3.72,University of Central Punjab
6996,169.0,160.0,4.0,3.8,University of the Punjab
7027,161.0,169.0,4.5,3.5,Bahria University
7051,160.0,160.0,5.0,3.65,COMSATS University Islamabad
7061,162.0,170.0,4.5,3.6,COMSATS University Islamabad
7067,155.0,160.0,4.5,3.8,National University of Sciences and Technology
7071,157.0,170.0,4.0,3.7,Bahauddin Zakariya University
7075,166.0,170.0,5.0,3.84,National University of Computer and Emerging Sciences
7110,168.0,167.0,5.5,3.85,Institute of Business Administration
7136,154.0,168.0,4.0,3.6,"International Islamic University, Islamabad"
7151,165.0,170.0,4.5,4.0,COMSATS University Islamabad
7152,154.0,168.0,4.0,3.6,Bahria University
7160,155.0,164.0,3.5,3.85,Quaid-i-Azam University
7165,158.0,164.0,3.5,3.7,NED University of Engineering and Technology
7177,161.0,150.0,4.5,3.6,Aga Khan University
7206,168.0,170.0,5.5,3.8,Aga Khan University
7265,168.0,156.0,3.0,3.4,NED University of Engineering and Technology
7295,158.0,169.0,4.5,3.7,Bahauddin Zakariya University
7339,162.0,154.0,3.5,3.4,National University of Computer and Emerging Sciences
7342,152.0,167.0,4.0,3.3,National University of Modern Languages
7343,152.0,167.0,4.0,3.3,National University of Modern Languages
7389,157.0,155.0,4.0,3.93,Air University
7400,166.0,162.0,5.0,3.03,Bahauddin Zakariya University
7409,162.0,161.0,5.5,3.85,Bahauddin Zakariya University
7461,167.0,170.0,5.0,3.65,Bahria University
7488,163.0,168.0,5.0,3.65,Bahauddin Zakariya University
7500,152.0,165.0,4.0,3.86,Quaid-i-Azam University
7557,154.0,159.0,5.5,3.86,National University of Computer and Emerging Sciences
7574,149.0,150.0,4.0,3.66,"International Islamic University, Islamabad"
7587,161.0,162.0,5.5,3.18,Quaid-i-Azam University
7588,154.0,168.0,3.5,3.68,Bahauddin Zakariya University
7613,170.0,160.0,4.0,3.59,COMSATS University Islamabad
7616,164.0,165.0,0.0,3.75,National University of Sciences and Technology
7654,152.0,167.0,4.0,3.3,Institute of Business Administration
7694,163.0,169.0,4.0,3.3,NED University of Engineering and Technology
7712,152.0,147.0,0.0,3.33,Quaid-i-Azam University
7745,163.0,169.0,4.0,3.85,Aga Khan University
7775,162.0,158.0,4.5,3.08,Quaid-i-Azam University
7793,157.0,168.0,4.0,3.66,NED University of Engineering and Technology
7801,156.0,170.0,3.0,3.5,National University of Computer and Emerging Sciences
7816,158.0,167.0,5.0,3.64,Air University
7823,169.0,168.0,4.5,3.75,Bahauddin Zakariya University
7831,148.0,165.0,4.0,3.71,National University of Modern Languages
7837,163.0,169.0,3.5,3.88,National University of Modern Languages
7854,165.0,169.0,5.5,3.95,COMSATS University Islamabad
7855,164.0,165.0,4.0,3.48,Aga Khan University
7871,161.0,170.0,3.5,3.9,National University of Computer and Emerging Sciences
7879,163.0,170.0,5.0,3.88,National University of Computer and Emerging Sciences
7892,170.0,164.0,4.0,4.0,Bahria University
7904,163.0,155.0,4.0,3.83,NED University of Engineering and Technology
7940,158.0,166.0,4.0,3.47,Aga Khan University
7955,150.0,164.0,4.0,3.64,Aga Khan University
7967,155.0,170.0,3.5,3.92,Aga Khan University
7972,156.0,169.0,4.0,3.72,National University of Computer and Emerging Sciences
7979,160.0,170.0,4.0,3.0,"University of Engineering and Technology, Lahore"
8007,154.0,167.0,3.0,3.77,Aga Khan University
8011,158.0,164.0,3.5,3.6,"University of Engineering and Technology, Lahore"
8038,161.0,170.0,4.0,3.94,Bahauddin Zakariya University
8086,158.0,164.0,3.5,3.7,National University of Sciences and Technology
8098,166.0,151.0,6.0,3.96,NED University of Engineering and Technology
8099,158.0,161.0,5.0,3.4,Bahauddin Zakariya University
8100,158.0,161.0,5.0,3.4,COMSATS University Islamabad
8117,152.0,168.0,3.0,3.74,Bahria University
8131,165.0,169.0,4.5,3.9,National University of Sciences and Technology
8132,165.0,169.0,4.5,3.9,"University of Engineering and Technology, Lahore"
8134,165.0,169.0,4.5,3.9,Bahria University
8172,157.0,166.0,3.0,3.4,National University of Computer and Emerging Sciences
8209,150.0,168.0,5.0,3.9,"International Islamic University, Islamabad"
8210,164.0,166.0,4.0,8.56,National University of Modern Languages
8220,157.0,157.0,4.5,3.6,Quaid-i-Azam University
8272,155.0,165.0,3.5,3.6,Aga Khan University
8276,165.0,169.0,4.5,3.49,"University of Engineering and Technology, Lahore"
8311,163.0,167.0,5.0,3.26,Quaid-i-Azam University
8354,157.0,170.0,0.0,4.0,National University of Computer and Emerging Sciences
8395,150.0,170.0,3.5,3.85,National University of Computer and Emerging Sciences
8403,166.0,166.0,5.0,3.54,University of Central Punjab
8409,170.0,162.0,4.5,3.68,"University of Engineering and Technology, Lahore"
8436,155.0,170.0,4.5,3.98,Bahauddin Zakariya University
8456,160.0,166.0,4.5,3.92,National University of Computer and Emerging Sciences
8487,153.0,167.0,3.5,3.96,COMSATS University Islamabad
8488,152.0,168.0,3.5,3.58,National University of Modern Languages
8517,157.0,164.0,4.0,3.9,Bahauddin Zakariya University
8529,152.0,165.0,4.0,3.78,"University of Engineering and Technology, Lahore"
8532,170.0,170.0,5.0,3.8,NED University of Engineering and Technology
8567,167.0,168.0,5.0,3.66,National University of Modern Languages
8581,169.0,157.0,5.0,3.79,Bahria University
8586,159.0,168.0,4.0,8.52,Bahauddin Zakariya University
8591,152.0,148.0,5.0,3.95,NED University of Engineering and Technology
8599,156.0,170.0,3.0,3.77,Aga Khan University
8681,160.0,170.0,4.5,3.7,National University of Modern Languages
8690,156.0,159.0,4.0,3.94,Bahauddin Zakariya University
8698,138.0,160.0,3.0,3.0,Aga Khan University
8703,144.0,167.0,0.0,3.42,Bahria University
8760,155.0,168.0,3.0,3.91,Bahauddin Zakariya University
8762,155.0,169.0,3.5,3.67,Bahauddin Zakariya University
8773,162.0,166.0,5.0,3.95,Air University
8775,162.0,166.0,5.0,3.95,Aga Khan University
8776,162.0,166.0,5.0,3.95,University of Central Punjab
8814,159.0,164.0,4.0,3.11,"University of Engineering and Technology, Lahore"
8855,151.0,170.0,3.0,3.72,"University of Engineering and Technology, Lahore"
8896,162.0,162.0,6.0,3.97,Bahauddin Zakariya University
8921,152.0,167.0,3.5,4.0,"International Islamic University, Islamabad"
9006,163.0,170.0,4.0,3.74,Bahauddin Zakariya University
9008,163.0,170.0,4.0,3.74,Aga Khan University
9014,157.0,169.0,4.0,3.88,Bahauddin Zakariya University
9036,155.0,150.0,5.0,3.1,Bahauddin Zakariya University
9076,158.0,155.0,4.0,3.3,Air University
9081,168.0,157.0,5.5,3.4,"University of Engineering and Technology, Lahore"
9082,157.0,156.0,4.5,3.74,COMSATS University Islamabad
9138,161.0,154.0,5.5,3.79,National University of Computer and Emerging Sciences
9162,147.0,164.0,4.0,3.58,Bahauddin Zakariya University
9206,167.0,155.0,4.5,3.92,Aga Khan University
9226,152.0,169.0,3.5,3.45,"University of Engineering and Technology, Lahore"
9227,152.0,169.0,3.5,3.45,COMSATS University Islamabad
9276,152.0,168.0,4.0,3.7,"University of Engineering and Technology, Lahore"
9321,163.0,168.0,4.5,3.76,Air University
9359,153.0,169.0,3.5,3.37,National University of Sciences and Technology
9360,153.0,170.0,4.0,9.81,Quaid-i-Azam University
9364,166.0,158.0,5.0,3.48,"International Islamic University, Islamabad"
9387,168.0,170.0,3.0,3.84,Aga Khan University
9402,170.0,166.0,5.0,3.8,National University of Computer and Emerging Sciences
9455,170.0,155.0,4.0,3.71,COMSATS University Islamabad
9458,170.0,162.0,3.5,3.7,Bahauddin Zakariya University
9520,153.0,150.0,4.0,3.65,University of the Punjab
9548,161.0,162.0,4.0,3.77,Bahauddin Zakariya University
9593,166.0,167.0,5.0,3.36,University of Central Punjab
9594,162.0,163.0,4.5,3.86,Bahauddin Zakariya University
9616,166.0,167.0,5.0,3.36,National University of Sciences and Technology
9618,161.0,169.0,4.5,3.5,"University of Engineering and Technology, Lahore"
9622,166.0,167.0,5.0,3.36,National University of Computer and Emerging Sciences
9626,166.0,167.0,5.0,3.36,University of Central Punjab
9629,166.0,167.0,5.0,3.36,University of Central Punjab
9633,152.0,168.0,3.5,3.83,National University of Computer and Emerging Sciences
9634,157.0,158.0,4.0,4.0,Aga Khan University
9694,152.0,166.0,3.5,3.4,National University of Modern Languages
9706,163.0,167.0,4.0,3.5,COMSATS University Islamabad
9707,163.0,167.0,4.0,3.5,NED University of Engineering and Technology
9776,169.0,166.0,4.0,4.0,COMSATS University Islamabad
9777,169.0,166.0,4.0,4.0,Bahauddin Zakariya University
9842,168.0,166.0,5.0,3.99,University of the Punjab
9845,158.0,148.0,5.0,3.97,National University of Sciences and Technology
9852,160.0,149.0,4.0,3.48,Aga Khan University
9853,164.0,170.0,5.5,3.99,Aga Khan University
9859,168.0,151.0,5.0,4.0,"International Islamic University, Islamabad"
9866,151.0,157.0,4.0,3.7,"University of Engineering and Technology, Lahore"
9884,152.0,168.0,3.5,3.58,Quaid-i-Azam University
9889,170.0,155.0,5.0,3.5,National University of Sciences and Technology
9942,157.0,169.0,4.5,3.93,Bahauddin Zakariya University
9954,162.0,170.0,4.0,3.9,Bahauddin Zakariya University
9962,165.0,170.0,3.5,3.94,Institute of Business Administration
9984,161.0,167.0,4.5,3.71,Bahauddin Zakariya University
9993,155.0,165.0,0.0,3.96,National University of Computer and Emerging Sciences
10011,158.0,169.0,4.5,3.7,National University of Computer and Emerging Sciences
10020,158.0,153.0,4.0,3.77,Bahauddin Zakariya University
10025,156.0,169.0,3.5,3.87,Bahauddin Zakariya University
10026,155.0,170.0,4.0,3.7,Bahauddin Zakariya University
10035,155.0,170.0,4.0,3.4,"University of Engineering and Technology, Lahore"
10050,160.0,170.0,5.0,3.9,"University of Engineering and Technology, Lahore"
10108,151.0,148.0,4.5,3.93,Quaid-i-Azam University
10118,152.0,169.0,4.0,3.8,National University of Modern Languages
10141,162.0,166.0,3.0,3.52,COMSATS University Islamabad
10164,157.0,159.0,4.5,3.88,Lahore University of Management Sciences
10169,160.0,169.0,3.5,3.3,Aga Khan University
10196,154.0,169.0,4.0,8.52,NED University of Engineering and Technology
10218,143.0,168.0,2.5,3.78,Bahria University
10221,157.0,146.0,5.0,4.0,Quaid-i-Azam University
10225,161.0,167.0,3.5,3.98,"University of Engineering and Technology, Lahore"
10227,155.0,150.0,4.5,3.73,National University of Computer and Emerging Sciences
10231,165.0,163.0,5.0,3.8,Aga Khan University
10261,157.0,159.0,3.5,3.98,University of Central Punjab
10312,159.0,165.0,4.0,3.57,"University of Engineering and Technology, Lahore"
10328,170.0,160.0,6.0,3.99,COMSATS University Islamabad
10333,155.0,170.0,3.5,3.92,National University of Modern Languages
10334,170.0,155.0,3.5,3.92,National University of Modern Languages
10342,148.0,167.0,3.5,3.79,University of Central Punjab
10344,155.0,155.0,4.0,4.0,COMSATS University Islamabad
10403,163.0,169.0,4.5,3.84,Bahauddin Zakariya University
10420,154.0,170.0,3.5,3.61,Bahauddin Zakariya University
10426,155.0,165.0,3.5,3.6,Aga Khan University
10471,157.0,161.0,5.5,3.82,Aga Khan University
10518,163.0,169.0,4.5,3.6,Air University
10544,157.0,167.0,4.0,3.4,Bahauddin Zakariya University
10545,157.0,167.0,4.0,3.4,Air University
10553,166.0,155.0,4.0,3.83,University of the Punjab
10583,152.0,170.0,3.5,3.96,Bahria University
10588,161.0,162.0,4.0,3.76,Aga Khan University
10629,158.0,160.0,5.0,3.5,"International Islamic University, Islamabad"
10676,138.0,163.0,3.0,3.83,COMSATS University Islamabad
10689,157.0,166.0,4.0,3.33,"University of Engineering and Technology, Lahore"
10725,162.0,167.0,5.0,3.7,Bahauddin Zakariya University
10733,162.0,169.0,5.0,3.7,Air University
10759,156.0,164.0,4.0,3.84,"University of Engineering and Technology, Lahore"
10785,154.0,170.0,4.0,3.6,Bahauddin Zakariya University
10786,151.0,167.0,4.0,3.61,University of Central Punjab
10791,164.0,170.0,5.5,3.4,Air University
10793,163.0,166.0,4.5,3.79,Air University
10817,154.0,164.0,4.0,3.6,Bahria University
10855,161.0,166.0,4.0,3.82,Air University
10858,161.0,170.0,5.0,3.7,Air University
10866,156.0,162.0,3.5,3.36,National University of Sciences and Technology
10886,159.0,166.0,5.5,3.76,Aga Khan University
10929,152.0,168.0,3.5,3.6,Aga Khan University
10940,154.0,162.0,4.0,3.62,NED University of Engineering and Technology
10941,154.0,162.0,4.0,3.62,University of the Punjab
11001,161.0,153.0,5.5,3.78,Bahauddin Zakariya University
11008,154.0,166.0,4.5,2.7,Air University
11010,155.0,170.0,5.5,3.64,Lahore University of Management Sciences
11046,150.0,145.0,5.0,3.92,"International Islamic University, Islamabad"
