id,Metric marks,FSc Marks,Merit,Field,Name of Uni,City
37,808,817,0.7854545,MBBS,Islamabad Medical & Dental College,Islamabad
38,723,745,0.6763636,BDS,Riphah University,Islamabad
39,850,912,0.8727273,Software Engineering,Ghulam Ishaq Khan Institute,Topi
40,562,674,0.5436364,BBA,Karachi School of Business,Karachi
41,934,932,0.9227273,MBBS,Jinnah Sindh Medical Univ,Karachi
42,750,736,0.7181818,BDS,Fatima Jinnah Dental College,Karachi
43,936,876,0.8972727,Software Engineering,Quaid-i-Azam University,Islamabad
44,550,660,0.57,BBA,Comsats University ,Islamabad
45,900,860,0.792727,BDS,HBS ,Islamabad
46,765,819,0.793273,Software Engineering,FAST University of Computer Sciences & Technology,Islamabad
47,950,1000,0.9645,MBBS,University of Punjab,Lahore
48,1020,980,0.9645,Software Engineering,National University of Sciences and Technology (NUST),Islamabad
49,800,990,0.8982,Biochemistry,Quaid-i-Azam University,Islamabad
50,1060,1080,0.9855,AI Engineering,Lahore University of Management Sciences (LUMS),Lahore
51,920,950,0.940909,MBBS,Allama Iqbal Medical College,Lahore
52,695,726,0.702727,BBA,IBA Karachi,Karachi
53,992,1056,0.990545,MBBS,Rawalpindi Medical University,Rawalpindi
54,832,869,0.850727,BDS,Ziauddin University,Karachi
55,570,511,0.532,Software Engineering,Ghulam Ishaq Khan Institute of Engineering Sciences and Technology,Topi
56,1031,1082,1.014727,MBBS,University of Health Sciences Lahore,Lahore
57,825,884,0.849818,BBA,Sukkur Institute of Business Administration,Sukkur
58,979,1048,0.990727,BDS,Sardar Begum Dental College,Peshawar
59,793,733,0.744727,Software Engineering,National University of Computer and Emerging Sciences,Lahore
60,686,775,0.716182,BBA,Lahore University,Lahore
61,1003,1059,1.002182,MBBS,King Edward Medical University Lahore,Lahore
62,920,890,0.893818,BDS,Dow University of Health Sciences Karachi,Karachi
63,577,600,0.577818,BBA,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Karachi
64,1025,1000,0.915909091,MBBS,Aga Khan University Karachi,Karachi
65,763,786,0.775273,Software Engineering,National University of Sciences and Technology,Rawalpindi
66,832,878,0.849818,BDS,Liaquat University of Medical and Health Sciences,Jamshoro
67,1026,900,0.852272727,MBBS,Services Institute of Medical Sciences Lahore,Lahore
68,696,650,0.645091,BBA,Institute of Business Administration Karachi,Karachi
69,955,1001,0.979091,MBBS,Rawalpindi Medical University,Rawalpindi
70,900,860,0.792727,BS Chemistry,Gujrat University,Gujrat
71,720,759,0.736364,Software Engineering,National University of Computer and Emerging Sciences,Islamabad
72,795,812,0.796909,BBA,Sukkur Institute of Business Administration,Sukkur
73,915,926,0.913273,MBBS,Services Institute of Medical Sciences,Lahore
74,889,901,0.883455,BDS,Baqai Medical University,Karachi
75,660,698,0.676364,Software Engineering,National University of Science and Technology,Islamabad
76,774,880,0.8172727,Software Engineering,National University,Islamabad
77,622,655,0.5709091,BBA,Lahore University,Lahore
78,916,844,0.8636364,MBBS,Aga Khan University,Karachi
79,498,632,0.4645455,BBA,Institute of Business,Karachi
80,819,810,0.7872727,BDS,Khyber Medical Univ,Peshawar
81,752,726,0.7327273,Software Engineering,NED University,Karachi
82,689,721,0.6318182,BBA,Institute of Business,Lahore
83,950,945,0.9381818,MBBS,Dow University,Karachi
84,786,701,0.7254545,BDS,Ziauddin University,Karachi
85,920,903,0.9018182,Software Engineering,FAST University,Islamabad
86,537,621,0.4990909,BBA,IBA Sukkur,Sukkur
87,850,833,0.8318182,MBBS,King Edward Medical Univ,Lahore
88,686,718,0.6309091,BDS,Liaquat Univ of Med,Jamshoro
89,921,866,0.8818182,Software Engineering,Lahore University,Lahore
90,501,598,0.4536364,BBA,Iqra University,Karachi
91,808,817,0.7854545,MBBS,Islamabad Medical & Dental College,Islamabad
92,723,745,0.6763636,BDS,Riphah University,Islamabad
93,850,912,0.8727273,Software Engineering,Ghulam Ishaq Khan Institute,Topi
94,562,674,0.5436364,BBA,Karachi School of Business,Karachi
95,934,932,0.9227273,MBBS,Jinnah Sindh Medical Univ,Karachi
96,750,736,0.7181818,BDS,Fatima Jinnah Dental College,Karachi
97,936,876,0.8972727,BS Artificial Intelligence,Comsats University ,Islamabad
98,550,660,0.57,BBA,Comsats University,Islamabad
99,900,860,0.792727,BS Chemistry,Gujrat University,Gujrat
100,820,840,0.807273,BBA,Bahauddin Zakariya University,Multan
101,740,760,0.767273,Software Engineering,University of Engineering and Technology Peshawar,Peshawar
102,660,680,0.687273,BBA,University of Agriculture Faisalabad,Faisalabad
103,900,880,0.847273,BDS,University of Veterinary and Animal Sciences Lahore,Lahore
104,820,820,0.807273,MBBS,University of Health Sciences Lahore,Lahore
105,740,740,0.767273,Software Engineering,National University of Computer and Emerging Sciences Lahore Campus,Lahore
106,660,660,0.687273,BBA,University of Engineering and Technology Lahore,Lahore
107,900,900,0.847273,BDS,King Edward Medical University Lahore,Lahore
108,820,800,0.807273,MBBS,Aga Khan University Karachi,Karachi
109,740,720,0.767273,Software Engineering,NED University Karachi,Karachi
110,660,640,0.687273,BBA,Sindh University Jamshoro,Jamshoro
111,900,880,0.847273,BDS,Jinnah Sindh Medical University Karachi,Karachi
112,820,820,0.807273,MBBS,Liaquat University of Medical and Health Sciences Jamshoro,Jamshoro
113,740,740,0.767273,Software Engineering,University of Engineering and Technology Taxila,Taxila
114,660,660,0.687273,BBA,University of Agriculture Peshawar,Peshawar
115,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Karachi,Karachi
116,820,800,0.807273,MBBS,University of Health Sciences Peshawar,Peshawar
117,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Peshawar Campus,Peshawar
118,660,640,0.687273,BBA,University of Engineering and Technology Peshawar,Peshawar
119,900,880,0.847273,BDS,King Edward Medical University Peshawar,Peshawar
120,820,820,0.807273,MBBS,Aga Khan University Islamabad,Islamabad
121,740,740,0.767273,Software Engineering,NED University Islamabad,Islamabad
122,660,660,0.687273,BBA,Sindh University Hyderabad,Hyderabad
123,900,880,0.847273,BDS,Jinnah Sindh Medical University Hyderabad,Hyderabad
124,820,820,0.807273,MBBS,Liaquat University of Medical and Health Sciences Hyderabad,Hyderabad
125,740,740,0.767273,Software Engineering,University of Engineering and Technology Mirpur,Mirpur
126,660,660,0.687273,BBA,University of Agriculture Abbottabad,Abbottabad
127,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Bahawalpur,Bahawalpur
128,820,800,0.807273,MBBS,University of Health Sciences Bahawalpur,Bahawalpur
129,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Bahawalpur Campus,Bahawalpur
130,660,640,0.687273,BBA,University of Engineering and Technology Bahawalpur,Bahawalpur
131,900,880,0.847273,BDS,King Edward Medical University Bahawalpur,Bahawalpur
132,820,820,0.807273,MBBS,Aga Khan University Quetta,Quetta
133,740,740,0.767273,Software Engineering,NED University Quetta,Quetta
134,660,660,0.687273,BBA,Balochistan University Quetta,Quetta
135,900,900,0.847273,BDS,Jinnah Sindh Medical University Quetta,Quetta
136,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Quetta,Quetta
137,740,720,0.767273,Software Engineering,University of Engineering and Technology Gwadar,Gwadar
138,660,640,0.687273,BBA,University of Agriculture Balochistan Quetta,Quetta
139,900,880,0.847273,BDS,University of Veterinary and Animal Sciences Quetta,Quetta
140,820,820,0.807273,MBBS,University of Health Sciences Quetta,Quetta
141,740,740,0.767273,Software Engineering,National University of Computer and Emerging Sciences Quetta Campus,Quetta
142,660,660,0.687273,BBA,University of Engineering and Technology Quetta,Quetta
143,900,900,0.847273,BDS,King Edward Medical University Quetta,Quetta
144,820,800,0.807273,MBBS,Aga Khan University Gilgit,Gilgit
145,740,720,0.767273,Software Engineering,NED University Gilgit,Gilgit
146,660,640,0.687273,BBA,Gilgit-Baltistan University Gilgi,Gilgit
147,900,880,0.847273,BDS,Jinnah Sindh Medical University Gilgit,Gilgit
148,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Gilgit,Gilgit
149,740,720,0.767273,Software Engineering,University of Engineering and Technology Skardu,Skardu
150,660,640,0.687273,BBA,University of Agriculture Malakand,Malakand
151,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Swat,Swat
152,820,800,0.807273,MBBS,University of Health Sciences Swat,Swat
153,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Swat Campus,Swat
154,660,640,0.687273,BBA,University of Engineering and Technology Swat,Swat
155,900,880,0.847273,BDS,King Edward Medical University Swat,Swat
156,820,820,0.807273,MBBS,Aga Khan University Khyber Pakhtunkhwa,Peshawar
157,740,740,0.767273,Software Engineering,NED University Khyber Pakhtunkhwa,Peshawar
158,660,660,0.687273,BBA,Khyber Pakhtunkhwa University of Engineering Peshawar,Peshawar
159,900,900,0.847273,BDS,Jinnah Sindh Medical University Peshawar,Peshawar
160,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Peshawar,Peshawar
161,740,720,0.767273,Software Engineering,University of Engineering and Technology Mardan,Mardan
162,660,640,0.687273,BBA,University of Agriculture Mardan,Mardan
163,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Mardan,Mardan
164,820,820,0.807273,MBBS,University of Health Sciences Mardan,Mardan
165,740,740,0.767273,Software Engineering,National University of Computer and Emerging Sciences Mardan Campus,Mardan
166,660,660,0.687273,BBA,University of Engineering and Technology Bannu,Bannu
167,900,900,0.847273,BDS,King Edward Medical University Bannu,Bannu
168,820,800,0.807273,MBBS,Aga Khan University Balochistan,Quetta
169,740,720,0.767273,Software Engineering,NED University Balochistan,Quetta
170,660,640,0.687273,BBA,Balochistan University Balochistan,Quetta
171,900,880,0.847273,BDS,Jinnah Sindh Medical University Balochistan,Quetta
172,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Balochistan,Quetta
173,740,720,0.767273,Software Engineering,University of Engineering and Technology Turbat,Turbat
174,660,640,0.687273,BBA,University of Agriculture Zhob,Zhob
175,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Dera Ismail Khan,Dera Ismail Khan
176,820,800,0.807273,MBBS,University of Health Sciences Dera Ismail Khan,Dera Ismail Khan
177,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Dera Ismail Khan Campus,Dera Ismail Khan
178,660,640,0.687273,BBA,University of Engineering and Technology Dera Ismail Khan,Dera Ismail Khan
179,900,880,0.847273,BDS,King Edward Medical University Dera Ismail Khan,Dera Ismail Khan
180,820,820,0.807273,MBBS,Aga Khan University Punjab,Lahore
181,740,740,0.767273,Software Engineering,NED University Punjab,Lahore
182,660,660,0.687273,BBA,Punjab University Lahore,Lahore
183,900,900,0.847273,BDS,Jinnah Sindh Medical University Punjab,Lahore
184,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Punjab,Lahore
185,740,720,0.767273,Software Engineering,University of Engineering and Technology Faisalabad,Faisalabad
186,660,640,0.687273,BBA,University of Agriculture Faisalabad,Faisalabad
187,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Faisalabad,Faisalabad
188,820,820,0.807273,MBBS,University of Health Sciences Faisalabad,Faisalabad
189,740,740,0.767273,Software Engineering,National University of Computer and Emerging Sciences Faisalabad Campus,Faisalabad
190,660,660,0.687273,BBA,University of Engineering and Technology Multan,Multan
191,900,900,0.847273,BDS,King Edward Medical University Multan,Multan
192,820,800,0.807273,MBBS,Aga Khan University Sindh,Karachi
193,740,720,0.767273,Software Engineering,NED University Sindh,Karachi
194,660,640,0.687273,BBA,Sindh University Karachi,Karachi
195,900,900,0.847273,BDS,Jinnah Sindh Medical University Sindh,Karachi
196,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Sindh,Karachi
197,740,720,0.767273,Software Engineering,University of Engineering and Technology Sukkur,Sukkur
198,660,640,0.687273,BBA,University of Agriculture Sukkur,Sukkur
199,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Sukkur,Sukkur
200,820,800,0.807273,MBBS,University of Health Sciences Sukkur,Sukkur
201,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Sukkur Campus,Sukkur
202,660,640,0.687273,BBA,University of Engineering and Technology Larkana,Larkana
203,900,900,0.847273,BDS,King Edward Medical University Larkana,Larkana
204,820,820,0.807273,MBBS,Aga Khan University Gilgit-Baltistan,Gilgit
205,740,740,0.767273,Software Engineering,NED University Gilgit-Baltistan,Gilgit
206,660,660,0.687273,BBA,Gilgit-Baltistan University Gilgit-Baltistan,Gilgit-Baltistan
207,900,900,0.847273,BDS,Jinnah Sindh Medical University Gilgit-Baltistan,Gilgit-Baltistan
208,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Gilgit-Baltistan,Gilgit-Baltistan
209,740,720,0.767273,Software Engineering,University of Engineering and Technology Skardu,Skardu
210,660,640,0.687273,BBA,University of Agriculture Malakand,Malakand
211,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Swat,Swat
212,820,820,0.807273,MBBS,University of Health Sciences Swat,Swat
213,740,740,0.767273,Software Engineering,National University of Computer and Emerging Sciences Swat Campus,Swat
214,660,660,0.687273,BBA,University of Engineering and Technology Swat,Swat
215,900,900,0.847273,BDS,King Edward Medical University Swat,Swat
216,820,800,0.807273,MBBS,Aga Khan University Khyber Pakhtunkhwa,Peshawar
217,740,720,0.767273,Software Engineering,NED University Khyber Pakhtunkhwa,Peshawar
218,740,740,0.767273,Software Engineering,Khyber Pakhtunkhwa University of Engineering Peshawar,Peshawar
219,660,660,0.687273,BBA,Khyber Pakhtunkhwa University of Engineering Mardan,Mardan
220,900,900,0.847273,BDS,King Edward Medical University Mardan,Mardan
221,820,800,0.807273,MBBS,Aga Khan University Balochistan,Quetta
222,740,720,0.767273,Software Engineering,NED University Balochistan,Quetta
223,660,640,0.687273,BBA,Balochistan University Balochistan,Quetta
224,900,900,0.847273,BDS,Jinnah Sindh Medical University Balochistan,Quetta
225,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Balochistan,Quetta
226,740,720,0.767273,Software Engineering,University of Engineering and Technology Turbat,Turbat
227,660,640,0.687273,BBA,University of Agriculture Zhob,Zhob
228,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Dera Ismail Khan,Dera Ismail Khan
229,820,800,0.807273,MBBS,University of Health Sciences Dera Ismail Khan,Dera Ismail Khan
230,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Dera Ismail Khan Campus,Dera Ismail Khan
231,660,640,0.687273,BBA,University of Engineering and Technology Dera Ismail Khan,Dera Ismail Khan
232,900,900,0.847273,BDS,King Edward Medical University Dera Ismail Khan,Dera Ismail Khan
233,820,820,0.807273,MBBS,Aga Khan University Punjab,Lahore
234,740,740,0.767273,Software Engineering,NED University Punjab,Lahore
235,660,660,0.687273,BBA,Punjab University Lahore,Lahore
236,900,900,0.847273,BDS,Jinnah Sindh Medical University Punjab,Lahore
237,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Punjab,Lahore
238,740,720,0.767273,Software Engineering,University of Engineering and Technology Faisalabad,Faisalabad
239,660,640,0.687273,BBA,University of Agriculture Faisalabad,Faisalabad
240,900,900,0.847273,BDS,King Edward Medical University Faisalabad,Faisalabad
241,820,800,0.807273,MBBS,Aga Khan University Sindh,Karachi
242,740,720,0.767273,Software Engineering,NED University Sindh,Karachi
243,660,640,0.687273,BBA,Sindh University Karachi,Karachi
244,900,900,0.847273,BDS,Jinnah Sindh Medical University Sindh,Karachi
245,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Sindh,Karachi
246,740,720,0.767273,Software Engineering,University of Engineering and Technology Sukkur,Sukkur
247,660,640,0.687273,BBA,University of Agriculture Sukkur,Sukkur
248,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Sukkur,Sukkur
249,820,800,0.807273,MBBS,University of Health Sciences Sukkur,Sukkur
250,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Sukkur Campus,Sukkur
251,660,640,0.687273,BBA,University of Engineering and Technology Larkana,Larkana
252,900,900,0.847273,BDS,King Edward Medical University Larkana,Larkana
253,820,820,0.807273,MBBS,Aga Khan University Gilgit-Baltistan,Gilgit
254,740,740,0.767273,Software Engineering,NED University Gilgit-Baltistan,Gilgit
255,660,660,0.687273,BBA,Gilgit-Baltistan University Gilgit-Baltistan,Gilgit-Baltistan
256,900,900,0.847273,BDS,Jinnah Sindh Medical University Gilgit-Baltistan,Gilgit-Baltistan
257,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Gilgit-Baltistan,Gilgit-Baltistan
258,740,720,0.767273,Software Engineering,University of Engineering and Technology Skardu,Skardu
259,660,640,0.687273,BBA,University of Agriculture Malakand,Malakand
260,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Malakand,Malakand
261,820,800,0.807273,MBBS,University of Health Sciences Malakand,Malakand
262,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Malakand Campus,Malakand
263,660,640,0.687273,BBA,University of Engineering and Technology Swat,Swat
264,900,900,0.847273,BDS,King Edward Medical University Swat,Swat
265,820,800,0.807273,MBBS,Aga Khan University Khyber Pakhtunkhwa,Peshawar
266,740,720,0.767273,Software Engineering,NED University Khyber Pakhtunkhwa,Peshawar
267,660,640,0.687273,BBA,Khyber Pakhtunkhwa University of Engineering Mardan,Mardan
268,900,900,0.847273,BDS,King Edward Medical University Mardan,Mardan
269,820,800,0.807273,MBBS,Aga Khan University Balochistan,Quetta
270,740,720,0.767273,Software Engineering,NED University Balochistan,Quetta
271,660,640,0.687273,BBA,Balochistan University Balochistan,Quetta
272,900,900,0.847273,BDS,Jinnah Sindh Medical University Balochistan,Quetta
273,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Balochistan,Quetta
274,740,720,0.767273,Software Engineering,University of Engineering and Technology Turbat,Turbat
275,660,640,0.687273,BBA,University of Agriculture Zhob,Zhob
276,900,900,0.847273,BDS,University of Veterinary and Animal Sciences Dera Ismail Khan,Dera Ismail Khan
277,820,800,0.807273,MBBS,University of Health Sciences Dera Ismail Khan,Dera Ismail Khan
278,900,900,0.847273,BDS,Government Medical College Dera Ismail Khan,Dera Ismail Khan
279,820,800,0.807273,MBBS,Government College of Dentistry Dera Ismail Khan,Dera Ismail Khan
280,740,720,0.767273,Software Engineering,Government College of Engineering and Technology Dera Ismail Khan,Dera Ismail Khan
281,660,640,0.687273,BBA,Government College of Commerce Dera Ismail Khan,Dera Ismail Khan
282,900,900,0.847273,BDS,Government Medical College Mardan,Mardan
283,820,800,0.807273,MBBS,Government College of Dentistry Mardan,Mardan
284,740,720,0.767273,Software Engineering,Government College of Engineering and Technology Mardan,Mardan
285,660,640,0.687273,BBA,Government College of Commerce Mardan,Mardan
286,900,900,0.847273,BDS,Government Medical College Swat,Swat
287,820,800,0.807273,MBBS,Government College of Dentistry Swat,Swat
288,740,720,0.767273,Software Engineering,Government College of Engineering and Technology Swat,Swat
289,660,640,0.687273,BBA,Government College of Commerce Swat,Swat
290,900,900,0.847273,BDS,Government Medical College Peshawar,Peshawar
291,820,800,0.807273,MBBS,Government College of Dentistry Peshawar,Peshawar
292,740,720,0.767273,Software Engineering,Government College of Engineering and Technology Peshawar,Peshawar
293,660,640,0.687273,BBA,Government College of Commerce Peshawar,Peshawar
294,900,900,0.847273,BDS,Jinnah Sindh Medical University Peshawar,Peshawar
295,820,800,0.807273,MBBS,Liaquat University of Medical and Health Sciences Peshawar,Peshawar
296,740,720,0.767273,Software Engineering,National University of Computer and Emerging Sciences Peshawar Campus,Peshawar
297,660,640,0.687273,BBA,University of Engineering and Technology Peshawar,Peshawar
298,900,900,0.847273,BDS,King Edward Medical University Lahore,Lahore
299,820,800,0.807273,MBBS,Aga Khan University Punjab,Lahore
300,740,720,0.767273,Software Engineering,NED University Punjab,Lahore
301,660,640,0.687273,BBA,Punjab University Lahore,Lahore
